,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,12,30,44,80,120,146,194,270,294,1195,3.4(2).6.6.6.6
1,V2,6,14,24,62,78,98,174,206,216,350,1229,4.4.4.4.4.4.6.6.6.6.6.6.*.*.*
