,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,12,40,42,128,92,232,162,408,252,1377
1,V2,4,8,44,42,116,92,248,162,388,252,1357
2,V3,3,16,21,69,61,168,120,303,199,480,1441
