,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,7,11,16,34,48,52,68,95,134,471,3.3.3.3.4.4.12.12.12.12
1,V2,3,6,11,17,24,38,58,76,80,104,418,3.12(2).12(2)
2,V3,3,4,11,15,24,34,56,78,80,106,412,3.12(2).12(2)
3,V4,3,5,7,14,28,42,50,66,104,138,458,4.12(2).12(2)
