,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,36,32,194,112,570,248,1130,432,1862,4621
1,V2,3,27,22,140,86,451,203,954,377,1664,3928
2,V3,12,14,102,68,378,176,840,338,1512,542,3983
3,V4,12,8,48,32,192,110,564,236,1068,422,2693
