,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,6,0.0,0.25,0.75,"0, 1/4, 3/4",12 f,222,4
1,V2,6,0.0,0.0,0.0,"0, 0, 0",4 b,-3m,12
