,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,6,0.0,0.0,0.0,"0, 0, 0",2 a,-3m,12
1,V2,12,0.3333,0.6667,0.25,"1/3, 2/3, 1/4",2 c,-6m2,12
2,V3,3,0.2394,0.1197,0.1797,"2y, y, z",12 k,m,2
