,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.5861,0.2754,0.0539,"x, y, z",16 g,1,1
1,V2,4,0.0,0.0,0.3577,"0, 0, z",8 c,2,2
