,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,15,15,62,43,137,83,251,135,392,1137
1,V2,3,18,18,62,42,146,84,254,138,380,1146
2,V3,7,8,36,28,100,62,194,108,316,168,1028
