,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,13,22,31,66,80,94,194,219,217,940
1,V2,8,10,20,58,48,74,176,146,178,402,1121
