,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,6,17,36,65,108,152,210,269,348,425,1637,4.4.4.4.4.4.4.4.4.6.6.6.6.6.6
1,V2,3,12,33,56,93,140,195,248,333,410,1524,6(6).6(6).6(6)
2,V3,5,16,35,66,103,156,205,274,343,432,1636,4.4.4(2).4(2).6.6.6(3).6(3).6(3).6(3)
