,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,8,10,20,24,28,50,64,64,281,3.3.18(64).18(64).18(64).18(64)
1,V2,4,7,10,14,17,24,37,48,57,70,289,3.4.4.18(64).4.18(64)
