,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.3468,0.5,"0, y, 1/2",18 g,2
1,E2,0.9191,0.2777,0.5769,"x, y, z",36 i,1
2,E3,0.9783,0.3845,0.5207,"x, y, z",36 i,1
3,E4,0.8257,0.1743,0.6124,"x, 1-x, z",18 h,m
4,E5,0.8894,0.2227,0.6667,"x+1/3, x+2/3, 2/3",18 f,2
5,E6,0.0,0.5,0.5,"0, 1/2, 1/2",9 d,2/m
