,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.25,0.2856,0.75,"1/4, y, 3/4",24 g,mm2
1,E2,0.1854,0.3146,0.6854,"x, 1/2-x, 1/2+x",16 e,3m
2,E3,0.1445,0.3555,0.609,"x, 1-x, z",48 h,m
3,E4,0.1327,0.4029,0.5971,"x, y, 1-y",48 h,m
4,E5,0.1124,0.3876,0.5204,"x, 1/2-x, z",48 h,m
5,E6,0.0564,0.0564,0.092,"x, x, z",48 h,m
