,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,12,60,36,192,96,342,146,624,264,1785
1,V2,6,6,54,36,126,66,378,170,486,198,1527
2,V3,3,24,19,94,53,251,120,441,185,729,1920
