,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,16,52,130,244,380,538,784,986,1268,1588,5987
1,V2,12,50,110,216,356,528,704,968,1230,1514,5689
