,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,6,17,34,65,103,146,202,261,329,411,1575
1,V2,8,14,42,68,98,150,216,242,336,426,1601
