,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0,0.0,0.1875,"0, 0, z",4 e,3m,6
1,V2,4,0.6667,0.3333,0.0208,"2/3, 1/3, z",4 f,3m,6
2,V3,4,0.6667,0.3333,0.1458,"2/3, 1/3, z",4 f,3m,6
