,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,7,15,21,28,42,56,84,112,168,214,748
1,V2,6,15,20,28,38,58,76,116,152,222,732
