,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.2812,0.5624,0.3436,"x, 2x, z",12 o,m
1,E2,0.2283,0.5157,0.2028,"x, y, z",24 r,1
2,E3,0.353,0.647,0.4189,"x, 1-x, z",12 o,m
3,E4,0.2939,0.5878,0.5,"x, 2x, 1/2",6 m,mm2
4,E5,0.2472,0.4944,0.1373,"x, 2x, z",12 o,m
5,E6,0.1281,0.4846,0.1092,"x, y, z",24 r,1
6,E7,0.0,0.4408,0.0811,"0, y, z",12 n,m
7,E8,0.0684,0.5342,0.0811,"27, y, z",12 o,m
8,E9,0.0684,0.475,0.0,"x, y, 0",12 p,m
