,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.2159,0.1616,0.1644,"x, y, z",16 n,1,1
1,V2,3,0.0735,0.25,0.25,"x, 1/4, 1/4",8 j,2,2
2,V3,3,0.0816,0.0524,0.0896,"x, y, z",16 n,1,1
3,V4,3,0.616,0.25,0.25,"x, 1/4, 1/4",8 j,2,2
