,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.5746,0.1492,0.3664,"x, 2x, z",6 n,m,2
1,V2,5,0.2409,0.4818,0.0,"x, 2x, 0",3 j,mm2,4
2,V3,3,0.0828,0.1656,0.0,"x, 2x, 0",3 j,mm2,4
3,V4,5,0.158,0.579,0.1962,"2y, y, z",6 n,m,2
