,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0291,0.2088,0.25,"x, y, z",192 l,1,1
1,V2,4,0.0627,0.1752,0.2836,"x, y, z",192 l,1,1
2,V3,4,0.1099,0.151,0.3078,"x, y, z",192 l,1,1
3,V4,4,0.0291,0.1416,0.3172,"x, y, z",192 l,1,1
4,V5,4,0.0763,0.1174,0.3414,"x, y, z",192 l,1,1
