,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,16,32,52,80,109,146,197,244,308,1190,5.5.5.5.5.5.5.5.12(2).12(2)
1,V2,4,12,26,45,71,102,139,188,241,295,1124,5.5.5.5.5.6
2,V3,4,12,24,41,68,101,140,184,230,288,1093,5.5.5.5.5.5
3,V4,4,13,28,46,73,105,144,183,235,295,1127,5.5.5.5.5.5
4,V5,4,12,26,41,70,116,138,174,228,285,1095,5.5.5.5.5.5
5,V6,4,12,25,43,71,103,141,187,233,296,1116,5.5.5.5.5.6
6,V7,4,12,24,40,69,109,144,177,232,282,1094,5.5.5.5.5.5
7,V8,4,12,25,42,66,96,134,186,232,284,1082,5.5.5.5.5.6
8,V9,4,12,26,44,64,94,136,176,234,292,1083,5.5.5.5.6.6
