,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0856,0.0881,0.1699,"x, y, z",32 m,1,1
1,V2,4,0.1838,0.1934,0.0802,"x, y, z",32 m,1,1
2,V3,4,0.4386,0.0614,0.1933,"x, 1/2-x, z",16 l,m,2
3,V4,4,0.3516,0.1484,0.0802,"x, 1/2-x, z",16 l,m,2
