,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.125,0.125,0.3542,"1/8, 1/8, z",48 l,mm2,4
1,V2,6,0.125,0.125,0.125,"1/8, 1/8, 1/8",8 a,-43m,24
2,V3,6,0.0,0.0,0.5,"0, 0, 1/2",16 d,-3m,12
