,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,4,8,13,20,46,61,84,120,141,195,693
1,V2,7,9,15,36,42,78,94,98,181,177,738
2,V3,4,9,24,30,54,72,76,116,130,207,723
3,V4,3,6,13,23,33,59,87,113,150,183,671
