,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,24,18,99,51,239,99,416,162,663,1775
1,V2,3,22,16,91,49,229,97,414,160,651,1733
2,V3,10,9,56,33,166,74,326,130,536,202,1543
