,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.2206,0.24,0.3082,"x, y, z",24 e,1,1
1,V2,3,0.1588,0.2121,0.3983,"x, y, z",24 e,1,1
2,V3,3,0.125,0.2493,0.4993,"x, y, 1/4+y",12 d,2,2
3,V4,3,0.125,0.329,0.579,"x, y, 1/4+y",12 d,2,2
