,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,7,18,36,63,104,150,207,281,347,1217
1,V2,5,12,25,45,71,117,177,227,293,371,1344
2,V3,5,14,31,50,75,124,181,234,297,366,1378
3,V4,7,18,29,48,83,130,191,252,299,376,1434
