,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.3058,0.4303,0.0,"x, y, z",12 i,1
1,E2,0.071,0.4606,0.25,"x, y, 1/4",6 h,m
2,E3,0.8046,0.9017,0.25,"x, y, 1/4",6 h,m
