,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,15,18,27,42,81,78,111,139,521,8.8.8
1,V2,4,6,12,19,36,40,64,79,140,136,537,4.4.8(4).8(4).8(5).8(5)
2,V3,3,7,11,20,27,49,59,96,107,169,549,4.5.5
