,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,48,118,232,342,496,694,888,1126,1408,5365
1,V2,15,56,129,224,351,506,687,896,1137,1400,5402
