,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,1,7,0.1302,0.0754,0.2632,"x, y, z",8 e,1,1
1,2,7,0.3753,0.1654,0.5323,"x, y, z",8 e,1,1
2,3,7,0.6199,0.0787,0.2427,"x, y, z",8 e,1,1
