,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0458,0.5229,0.1449,"2y, y, z",12 o,m,2
1,V2,3,0.1886,0.5943,0.5,"2y, y, 1/2",6 m,mm2,4
2,V3,3,0.2803,0.6402,0.5,"3y, y, 1/2",6 m,mm2,4
3,V4,3,0.109,0.5545,0.3551,"2y, y, z",12 o,m,2
