,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,8,24,32,120,62,180,140,420,158,1157
1,V2,6,8,36,26,96,62,198,116,342,182,1073
2,V3,3,17,14,52,42,143,81,246,149,431,1179
