,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,5,9,21,32,48,56,72,100,112,176,632,3.3.3.3.4.4.8.8.8.8
1,V2,5,8,21,33,44,64,80,96,136,161,649,3.3.3.3.8.8.8.8.20(2).20(2)
2,V3,4,8,18,30,43,59,80,105,130,176,654,3.8.3.8.4.8
3,V4,5,8,18,29,45,64,85,105,147,180,687,3.3.3.3.4.4.8.8.8.12(2)
4,V5,5,9,16,31,45,61,87,121,145,181,702,3.3.3.3.4.4.8.8.8.8
5,V6,5,9,22,31,39,61,99,121,151,181,720,3.3.3.3.4.4.8.8.8.8
6,V7,5,7,17,27,45,64,86,110,149,181,692,3.3.3.3.4.4.8.8.12(2).12(2)
7,V8,3,7,14,26,41,63,87,115,137,170,664,4.8.8
