,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,22,48,82,128,182,248,322,408,502,1951
1,V2,4,22,44,82,124,182,244,322,404,502,1931
