,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.1999,0.0,0.25,"x, 0, 1/4",6 g,mm2,4
1,V2,4,0.3333,0.0,0.032,"x, 0, z",12 k,m,2
