,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,18,33,46,73,90,140,175,196,781,3.8.8
1,V2,5,12,17,31,52,79,103,128,161,204,793,3.3.4.4.6.6.8.8.12(2).12(2)
2,V3,5,12,19,28,45,80,113,125,153,200,781,3.3.4.4.4.4.6.6.12(2).12(2)
