,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.414,0.25,"0, y, 1/4",4 e,2
1,E2,0.1721,0.5,0.547,"x, y, z",8 f,1
2,E3,0.25,0.664,0.25,"x, y, z",8 f,1
3,E4,0.25,0.25,0.5,"1/4, 1/4, 1/2",4 d,-1
