,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,26,62,116,182,266,362,476,602,746,2847
1,V2,8,32,62,140,158,320,302,572,494,896,2985
