,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.1745,0.1745,0.1745,"x, x, x",8 g,3m,6
1,V2,4,0.3489,0.3489,0.3489,"x, x, x",8 g,3m,6
2,V3,5,0.0,0.0,0.3489,"0, 0, z",6 e,4mm,8
