,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,10,16,46,51,120,104,210,177,330,1068,4.8(5).8(5)
1,V2,6,12,30,26,90,102,162,98,282,288,1097,8(2).8(2).8(2).8(4).8(4).8(4).8(4).8(4).8(4).8(4).12(4).12(4).12(4).12(4).12(4)
2,V3,4,6,22,32,72,58,154,156,260,166,931,4.4.6(2).6(2).6(2).6(2)
