,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,20,32,48,72,112,122,176,224,819,3.3.8.8.8.8
1,V2,4,10,18,32,60,68,104,140,182,202,821,4.4.6.6.8.8
2,V3,4,9,19,34,49,81,98,138,170,223,826,3.4.6.8.6.8
