,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.875,0.8314,0.125,"x, y, z",8 k,1
1,E2,0.5,0.5,0.0,"1/2, 1/2, 0",2 b,2/m
2,E3,0.0,0.5,0.0,"0, 1/2, 0",2 c,2/m
