,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,14,21,36,55,75,94,120,154,582,3.3.6.12.6.12
1,V2,4,8,16,20,34,64,72,96,128,146,589,3.3.12.12.12.12
