,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.0,0.2405,0.0541,"0, y, z",12 j,m,2
1,V2,3,0.0,0.0,0.4107,"0, 0, z",6 e,mm2,4
2,V3,3,0.0998,0.0998,0.0998,"x, x, x",8 i,3,3
