,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,7,22,47,84,131,188,255,332,419,518,2004
1,V2,7,22,49,84,131,188,255,332,421,518,2008
