,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.0954,0.0,0.3086,"x, 0, z",8 q,m,2
1,V2,3,0.2394,0.0,0.4172,"x, 0, z",8 q,m,2
2,V3,3,0.0,0.4046,0.0,"0, y, 0",4 l,mm2,4
