,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.5,0.0,0.0,"1/2, 0, 0",6 g,2/m
1,E2,0.6667,0.2416,0.0,"x, y, 0",12 l,m
2,E3,0.4832,0.2416,0.25,"2y, y, 1/4",12 k,2
3,E4,0.5749,0.1498,0.25,"x, 2x, 1/4",12 k,2
