,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.125,0.1178,0.3679,"1/8, y, y+1/4",48 g,2
1,E2,0.0653,0.1368,0.426,"x, y, z",96 h,1
2,E3,0.0225,0.085,0.3561,"x, y, z",96 h,1
3,E4,0.0427,0.2805,0.2965,"x, y, z",96 h,1
4,E5,0.0,0.25,0.375,"0, 1/4, 3/8",24 d,-4
