,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.062,0.2703,0.358,"x, y, z",96 l,1,1
1,V2,4,0.062,0.1497,0.387,"x, y, z",96 l,1,1
