,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.0,0.0,0.5,"0, 0, 1/2",1 b,-6m2
1,E2,0.7887,0.8944,0.0,"2y, y, 0",3 j,mm2
2,E3,0.3943,0.6057,0.0,"x, 1-x, 0",3 j,mm2
3,E4,0.2114,0.4227,0.5,"x, 2x, 1/2",3 k,mm2
