,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,6,0.0,0.0,0.25,"x, -x, 1/4",4 a,2,2
1,V2,3,0.3339,0.0,0.0834,"x, y, z",8 b,1,1
