,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,9,17,29,46,69,98,131,162,187,753,4.4.4.6.6.8
1,V2,4,10,21,35,49,66,89,117,150,190,732,4.8(3).4.8(3).6.12
