,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,12,36,92,162,260,374,508,674,836,1062,4017
1,V2,6,36,84,164,252,374,504,668,840,1046,3975
