,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,12,32,56,80,110,168,200,248,332,1247
1,V2,3,15,28,51,81,118,149,207,260,309,1222
