,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.1401,0.0,0.75,"x, 0, 3/4",8 g,2,2
1,V2,4,0.0,0.5,0.75,"0, 1/2, 3/4",4 b,222,4
2,V3,4,0.25,0.25,0.5,"1/4, 1/4, 1/2",4 f,2/m,4
