,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,8,16,52,62,136,140,264,246,436,384,1745
1,V2,3,16,34,77,100,185,196,321,322,523,1778
