,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10
0,V1,3,5,19,34,40,55,99,152,174,199,781
1,V2,3,7,16,29,41,58,93,138,161,202,749
2,V3,3,8,16,30,42,58,97,143,166,199,763
3,V4,6,14,19,28,49,81,104,128,162,205,797
4,V5,7,14,20,28,54,86,116,138,175,226,865
5,V6,4,12,20,31,44,74,105,143,174,213,821
