,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.125,0.0,0.25,"1/8, 0, 1/4",12 c,222,4
1,V2,4,0.1875,0.0625,0.125,"x, 1/4-x, 1/8",24 h,2,2
