,edge,x,y,z,symbolic,Wyckoff,symmetry
0,E1,0.4493,0.0,0.0,"x, 0, 0",6 e,mm2
1,E2,0.5,0.0,0.0507,"1/2, 0, z",6 j,mm2
2,E3,0.4006,0.0,0.0649,"x, 0, z",12 j,m
3,E4,0.3098,0.0253,0.0912,"x, y, z",24 l,1
4,E5,0.0,0.1034,0.2676,"0, y, z",12 j,m
5,E6,0.0792,0.1151,0.2273,"x, y, z",24 l,1
6,E7,0.1474,0.1173,0.1569,"x, y, z",24 l,1
