,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,3,6,12,24,39,55,74,100,131,163,608,10(2).10(4).10(4)
1,V2,3,6,12,24,38,57,80,106,133,165,625,10(2).10(4).10(4)
