,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,4,0.2183,0.2622,0.3788,"x, y, z",24 d,1,1
1,V2,4,0.0818,0.2082,0.2382,"x, y, z",24 d,1,1
